,id,casts,genres,title,vote_count,ratings
0,634649,"[1136406, 505710, 71580]","[{'name': '액션'}, {'name': '모험'}, {'name': 'SF'}]",스파이더맨: 노 웨이 홈,8831,8.3
1,414906,"[11288, 37153, 17142]","[{'name': '액션'}, {'name': '범죄'}, {'name': '드라마'}]",더 배트맨,869,8.2
2,568124,"[968367, 2521631, 5723]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}, {'name': '판타지'}]",엔칸토: 마법의 세계,5014,7.7
3,476669,"[5469, 1716493, 59620]","[{'name': '액션'}, {'name': '모험'}, {'name': '스릴러'}, {'name': '전쟁'}]",킹스맨: 퍼스트 에이전트,1738,7.0
4,646385,"[9206, 14405, 15234]","[{'name': '공포'}, {'name': '미스터리'}, {'name': '스릴러'}]",스크림,798,6.9
5,753232,"[64856, 2295, 20495]","[{'name': '액션'}, {'name': '범죄'}, {'name': '스릴러'}]",코만도,23,6.9
6,800510,"[37153, 1687573, 545087]",[{'name': '스릴러'}],키미,194,6.3
7,890656,"[113732, 1610940, 162367]","[{'name': '액션'}, {'name': '범죄'}, {'name': '판타지'}]",벤전스,105,5.3
8,774825,"[11108, 1240645, 3332754]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '모험'}, {'name': '가족'}]",아이스 에이지: 벅의 대모험,721,7.2
9,768744,"[1325962, 1245094, 149894]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '판타지'}, {'name': '모험'}]",나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,95,7.5
10,597208,"[51329, 112, 108916]","[{'name': '범죄'}, {'name': '드라마'}, {'name': '스릴러'}]",나이트메어 앨리,932,7.1
11,512195,"[18918, 10859, 90633]","[{'name': '액션'}, {'name': '코미디'}, {'name': '범죄'}, {'name': '스릴러'}]",레드 노티스,3178,6.8
12,524434,"[97576, 512991, 11701]",[{'name': 'SF'}],이터널스,4682,7.2
13,585083,"[77948, 62861, 17696]","[{'name': '애니메이션'}, {'name': '가족'}, {'name': '판타지'}, {'name': '코미디'}, {'name': '모험'}]",몬스터 호텔 4: 뒤바뀐 세계,263,7.0
14,632727,"[2035239, 122851, 172254]",[{'name': '공포'}],텍사스 전기톱 학살 2022,512,5.1
15,871799,"[46593, 3036, 1300650]","[{'name': '액션'}, {'name': '범죄'}, {'name': '스릴러'}]",퍼수트,14,6.3
16,438695,"[10297, 368, 1245]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}, {'name': '음악'}]",씽2게더,2128,8.2
17,803114,"[5588, 3000800, 77013]",[{'name': '스릴러'}],더 리퀸,64,4.7
18,783461,"[550167, 1714229, 2092738]","[{'name': '액션'}, {'name': '코미디'}, {'name': '범죄'}]",루프 라페타,28,6.0
19,801071,"[1733286, 2992685, 2215526]",[{'name': '공포'}],The Jack in the Box: Awakening,40,5.6
20,580489,"[2524, 57755, 1812]","[{'name': 'SF'}, {'name': '액션'}, {'name': '모험'}]",베놈 2: 렛 데어 비 카니지,6514,7.1
21,335787,"[1136406, 13240, 3131]","[{'name': '액션'}, {'name': '모험'}]",언차티드,650,7.1
22,624860,"[6384, 530, 1639847]","[{'name': 'SF'}, {'name': '액션'}, {'name': '모험'}]",매트릭스: 리저렉션,3138,6.8
23,615904,"[16866, 887, 2362790]","[{'name': '코미디'}, {'name': '로맨스'}, {'name': '음악'}]",메리 미,226,6.9
24,833425,"[2378813, 1773397, 352]",[{'name': '스릴러'}],출구는 없다,108,6.4
25,522016,"[83002, 1267329, 955]","[{'name': '액션'}, {'name': '스릴러'}]",355,307,6.0
26,860623,"[1481440, 1273684, 3195120]","[{'name': '액션'}, {'name': '스릴러'}]",라스트 맨 다운,311,6.3
27,425909,"[1308445, 1442069, 1172108]","[{'name': '판타지'}, {'name': '코미디'}, {'name': '모험'}]",고스트 버스터즈 라이즈,2211,7.7
28,635302,"[1256603, 1563442, 119145]","[{'name': '애니메이션'}, {'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",귀멸의 칼날 극장판 무한열차편,2215,8.4
29,460458,"[115150, 1223726, 1408809]","[{'name': '공포'}, {'name': '액션'}, {'name': 'SF'}]",레지던트 이블: 라쿤시티,1299,6.2
30,870671,"[1821947, 3223049, 1015060]",[{'name': '공포'}],The Hunting,9,5.6
31,766907,"[92949, 62, 1724556]","[{'name': '액션'}, {'name': '스릴러'}, {'name': '범죄'}, {'name': '드라마'}]",American Siege,46,5.5
32,845404,"[80602, 80611, 78739]",[{'name': '코미디'}],마디아 홈커밍,38,6.6
33,818647,"[3247402, 2367724, 138701]","[{'name': '로맨스'}, {'name': '드라마'}]",스루 마이 윈도,1320,7.8
34,566525,"[1489211, 1337, 1625558]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",샹치와 텐 링즈의 전설,5818,7.8
35,589761,"[562730, 77667, 1378375]","[{'name': '드라마'}, {'name': '역사'}, {'name': '모험'}]",체르노빌 1986,312,6.2
36,811592,"[78110, 45827, 11864]",[{'name': '액션'}],원샷,371,6.8
37,585245,"[1696017, 212285, 2362044]","[{'name': '가족'}, {'name': '모험'}, {'name': '코미디'}, {'name': '판타지'}]",클리포드 더 빅 레드 독,1093,7.3
38,926899,"[1247, 1283, 36663]","[{'name': '애니메이션'}, {'name': '드라마'}, {'name': '코미디'}, {'name': '공포'}]",더 하우스,419,7.1
39,843241,"[149894, 1325034, 151182]","[{'name': '애니메이션'}, {'name': '판타지'}]",일곱 개의 대죄: 빛에 저주받은 자들,312,8.0
40,482321,"[58225, 1774679, 27105]","[{'name': '애니메이션'}, {'name': 'SF'}, {'name': '가족'}, {'name': '코미디'}]",고장난 론,989,8.2
41,892153,"[2727292, 1984038, 82816]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}, {'name': '서부'}]",Tom and Jerry: Cowboy Up!,158,7.1
42,459151,"[7447, 11006, 12110]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '모험'}, {'name': '가족'}]",보스 베이비 2,1783,7.6
43,508947,"[3156344, 25540, 1192274]","[{'name': '애니메이션'}, {'name': '가족'}, {'name': '코미디'}, {'name': '판타지'}]",메이의 새빨간 비밀,3,7.3
44,916740,"[24967, 21429, 1232487]","[{'name': '스릴러'}, {'name': '미스터리'}, {'name': '드라마'}]",브레이즌,210,4.8
45,511809,"[1159982, 2217977, 13299]","[{'name': '드라마'}, {'name': '로맨스'}, {'name': '범죄'}]",웨스트 사이드 스토리,531,7.5
46,806704,[11288],"[{'name': '범죄'}, {'name': '드라마'}, {'name': '액션'}]",Untitled The Batman Sequel,0,0.0
47,928381,"[1077537, 10917, 224150]","[{'name': '액션'}, {'name': '스릴러'}, {'name': '범죄'}]",레스틀리스,93,5.9
48,550988,"[10859, 1388593, 1467219]","[{'name': '코미디'}, {'name': '액션'}, {'name': '모험'}, {'name': 'SF'}]",프리 가이,5143,7.7
49,739413,"[56734, 1377458, 557579]","[{'name': 'SF'}, {'name': '스릴러'}]",마더/안드로이드,420,5.8
50,460465,"[1610940, 136347, 189230]","[{'name': '액션'}, {'name': '판타지'}, {'name': '모험'}]",모탈 컴뱃,4441,7.2
51,508943,"[1277188, 1774679, 2990400]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '가족'}, {'name': '판타지'}]",루카,5876,8.0
52,928769,"[226564, 127449, 1854214]","[{'name': '코미디'}, {'name': '로맨스'}, {'name': 'SF'}]",AI가 당신을 사랑해요,16,5.3
53,926980,"[1686299, 1291450, 1825263]",[{'name': '공포'}],더 프리빌리지,103,5.1
54,370172,"[8784, 121529, 17838]","[{'name': '모험'}, {'name': '액션'}, {'name': '스릴러'}]",007 노 타임 투 다이,3602,7.5
55,877183,"[198, 200, 5586]","[{'name': '애니메이션'}, {'name': '코미디'}, {'name': '판타지'}]",심슨 가족의 플러스 기념일,251,6.6
56,436969,"[234352, 17605, 56446]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}]",더 수어사이드 스쿼드,5677,7.7
57,791373,"[880, 73968, 90633]","[{'name': '액션'}, {'name': '모험'}, {'name': '판타지'}, {'name': 'SF'}]",잭 스나이더의 저스티스 리그,7402,8.3
